VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
11-27,NA,NA,NA,NA,NA,NA,NA,1,LCM
11-26,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
11-31,NA,NA,NA,1,NA,NA,NA,NA,FRY
11-30,NA,NA,NA,NA,NA,NA,NA,NA,DRY
11-29,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
11-35,NA,NA,NA,NA,NA,NA,NA,NA,FROG
11-49,NA,NA,NA,NA,NA,NA,2,NA,CAMAS
12-07,NA,NA,NA,15,NA,NA,NA,3,CAMAS
12-10,NA,NA,NA,5,NA,NA,NA,1,CAMAS
12-15,NA,NA,NA,NA,NA,NA,NA,NA,WEENS
12-16,NA,NA,5,2,NA,NA,NA,NA,FROG
12-17,NA,NA,NA,3,NA,NA,NA,NA,DRY
12-19,NA,NA,NA,NA,NA,NA,NA,7,FROG
12-20,NA,NA,8,NA,NA,NA,NA,NA,BRUR
12-22,NA,NA,NA,3,NA,NA,NA,NA,FRY
12-21,NA,NA,NA,NA,NA,NA,0,2,CAMAS
12-23,NA,NA,1,NA,NA,NA,NA,4,BRUR
12-26,NA,NA,NA,NA,NA,NA,NA,NA,DRY
12-25,NA,NA,1,NA,NA,NA,NA,NA,LCM
12-31,NA,NA,NA,NA,NA,NA,NA,NA,FRY
12-32,NA,NA,NA,NA,NA,NA,NA,NA,FRY
12-33,NA,NA,NA,NA,1,NA,NA,1,LCM
13-03,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
13-04,NA,NA,NA,25,NA,NA,NA,12,CAMAS
13-09,NA,NA,2,NA,NA,NA,NA,NA,BRUR
13-10,NA,NA,4,NA,NA,NA,NA,NA,BRUR
13-12,NA,NA,10,NA,NA,NA,NA,NA,BRUR
13-13,NA,NA,2,NA,NA,NA,NA,NA,BRUR
13-17,NA,NA,NA,NA,NA,NA,NA,NA,FRY
13-16,NA,NA,NA,NA,NA,NA,NA,NA,JACK
13-15,NA,NA,NA,1,NA,NA,NA,NA,DRY
13-19,NA,NA,NA,NA,NA,NA,NA,NA,DRY
13-23,NA,NA,NA,NA,NA,NA,NA,NA,FRY
13-22,NA,NA,NA,1,NA,2,NA,NA,JACK
13-21,NA,NA,NA,NA,NA,NA,NA,NA,DRY
13-27,NA,NA,1,NA,NA,NA,NA,NA,BRUR
13-32,NA,NA,NA,NA,NA,7,NA,NA,WEENS
14-01,NA,NA,NA,4,NA,NA,3,4,CAMAS
14-02,NA,NA,NA,NA,NA,NA,1,NA,CAMAS
14-03,NA,NA,NA,NA,NA,NA,NA,25,BRUR
14-04,NA,NA,NA,3,NA,NA,NA,2,CAMAS
14-10,NA,NA,NA,NA,NA,NA,NA,NA,FRY
14-09,NA,NA,NA,NA,NA,NA,NA,NA,JACK
14-08,NA,NA,NA,NA,NA,NA,NA,NA,DRY
14-11,NA,NA,NA,NA,NA,NA,NA,1,FROG
14-13,NA,NA,NA,NA,NA,NA,NA,NA,FRY
14-12,NA,NA,NA,NA,NA,NA,NA,NA,JACK
14-14,NA,NA,NA,NA,NA,NA,NA,1,CAMAS
14-16,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
14-20,NA,NA,NA,NA,NA,1,NA,NA,FRY
14-19,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
14-23,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
14-25,NA,NA,NA,NA,NA,NA,NA,NA,LCM
14-26,NA,NA,NA,NA,NA,1,NA,NA,WEENS
