VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
95-20,NA,NA,1,NA,NA,NA,NA,NA,FROG
95-10,NA,NA,NA,NA,NA,3,NA,25,WEENS
95-21,NA,NA,NA,NA,NA,NA,NA,NA,FROG
95-02,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
95-01,NA,NA,NA,NA,NA,NA,NA,NA,FRY
95-05,NA,NA,NA,NA,NA,NA,NA,2,JACK
95-19,NA,NA,NA,NA,NA,NA,NA,NA,FRY
95-06,NA,NA,NA,2,NA,NA,NA,10,JACK
95-07,NA,NA,NA,2,NA,1,NA,3,JACK
95-16,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
95-22,NA,NA,NA,2,NA,1,NA,2,LCM
95-17,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
96-06,NA,NA,0,NA,NA,NA,NA,NA,BRUR
96-11,NA,NA,NA,NA,NA,NA,NA,NA,FROG
96-07,NA,NA,4,NA,NA,NA,NA,NA,BRUR
96-08,NA,NA,60,NA,NA,NA,NA,NA,BRUR
96-14,NA,NA,NA,NA,NA,NA,NA,NA,FRY
96-05,NA,NA,NA,NA,NA,NA,NA,NA,DRY
96-12,NA,NA,NA,NA,NA,NA,NA,NA,FROG
96-02,NA,NA,NA,NA,NA,1,3,50,CAMAS
96-15,NA,NA,2,NA,NA,NA,NA,NA,FRY
96-03,NA,NA,4,NA,NA,12,NA,8,JACK
96-13,NA,NA,NA,NA,NA,NA,NA,NA,FROG
96-16,NA,NA,NA,NA,NA,NA,NA,NA,FRY
96-17,NA,NA,NA,NA,NA,NA,NA,NA,FRY
96-09,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
97-23,NA,NA,NA,NA,1,NA,NA,NA,BRUR
97-24,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
97-22,NA,NA,NA,NA,NA,4,NA,NA,WEENS
97-27,NA,NA,NA,NA,NA,NA,NA,NA,FROG
97-30,NA,NA,2,NA,NA,NA,NA,NA,FRY
